zone_type,rainfall_mm,week_type,population_density,month,special_event,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
residential,15.7,normal,high,2,no,6.94,3.21,7.63,3.12
market,31.5,normal,medium,12,no,8.13,2.89,7.59,2.11
school,106.5,normal,medium,7,no,2.89,2.16,4.09,2.74
office,288.0,holiday,low,9,no,3.25,2.77,3.93,2.64
school,261.4,normal,low,6,no,2.44,1.66,3.21,2.05
residential,56.5,normal,medium,10,no,4.64,3.28,5.04,3.4
residential,75.9,normal,low,5,no,3.64,1.11,4.57,0.43
market,17.9,normal,medium,12,no,9.0,4.53,8.04,3.93
residential,138.8,holiday,medium,7,no,6.98,3.65,6.72,2.63
market,167.9,normal,medium,6,no,8.95,1.67,9.91,1.48
residential,35.7,normal,high,5,no,6.39,2.69,7.01,2.77
residential,66.4,holiday,high,2,no,6.73,4.45,6.92,4.43
market,157.6,normal,high,8,yes,15.0,4.6,13.99,4.41
residential,300.0,normal,low,7,yes,5.19,1.99,5.11,1.5
school,76.8,normal,low,6,no,2.72,2.45,1.81,2.36
school,53.7,festival,medium,5,no,3.8,6.0,4.31,5.83
office,35.9,normal,low,5,no,2.25,2.66,2.23,2.77
residential,101.9,normal,high,9,no,7.05,1.68,6.85,1.97
residential,11.8,normal,low,1,no,4.94,1.83,5.93,1.55
residential,165.5,normal,medium,9,no,4.16,1.77,5.37,1.17
school,218.5,normal,medium,6,no,2.71,3.84,3.48,3.36
office,7.4,normal,medium,4,no,4.22,3.08,5.12,2.4
residential,29.5,normal,low,10,yes,4.38,2.73,4.93,3.38
tourist_area,77.7,festival,medium,7,no,7.92,4.86,7.65,4.7
residential,300.0,holiday,medium,9,no,6.09,1.86,5.92,2.57
market,19.6,normal,high,5,no,12.91,2.48,13.4,3.78
office,7.8,holiday,low,5,no,2.42,2.96,1.41,2.89
office,51.8,normal,high,8,no,4.72,4.2,4.67,4.01
office,152.2,normal,high,7,no,6.38,2.68,4.51,2.51
office,64.0,normal,medium,8,no,1.25,1.64,2.21,2.01
residential,27.8,holiday,high,11,no,7.57,4.24,8.32,4.85
office,80.3,holiday,low,12,no,3.14,1.89,3.1,2.61
residential,57.0,normal,high,10,no,4.15,4.15,5.85,3.72
tourist_area,2.1,festival,medium,2,no,5.16,6.15,6.79,6.95
market,300.0,normal,medium,9,no,10.66,2.03,10.28,2.52
office,36.0,holiday,medium,3,no,2.75,3.61,4.72,3.67
market,50.3,festival,low,6,no,11.86,1.72,11.85,2.1
school,50.6,normal,high,6,no,4.2,3.88,4.66,3.81
market,5.6,holiday,low,2,no,6.89,3.02,6.53,2.51
office,54.6,normal,medium,12,no,2.29,2.69,3.5,3.16
residential,72.2,normal,medium,7,no,6.67,3.42,7.03,3.06
residential,62.0,normal,high,9,no,6.28,2.49,7.62,2.12
residential,42.5,normal,low,12,yes,2.26,1.86,3.09,2.14
residential,26.5,festival,medium,10,no,7.91,2.65,7.18,2.73
office,45.8,normal,medium,11,no,2.58,4.63,3.04,3.81
residential,41.1,normal,high,1,no,5.78,3.72,4.96,3.38
tourist_area,46.9,holiday,low,8,yes,4.5,5.06,4.72,3.62
residential,66.9,festival,low,2,no,5.86,1.4,5.76,1.45
residential,7.7,normal,low,1,no,5.52,2.18,6.12,1.53
office,100.9,festival,high,8,no,7.96,4.97,7.93,4.83
school,31.0,normal,low,2,no,2.49,2.76,2.26,1.76
market,89.4,holiday,medium,6,yes,13.22,3.81,13.56,3.79
school,300.0,normal,low,6,no,2.19,2.2,1.44,2.59
office,20.1,normal,high,5,no,5.39,3.93,5.08,3.98
residential,43.9,normal,high,8,no,7.43,2.78,7.66,3.0
tourist_area,83.1,normal,medium,3,no,5.59,5.17,4.52,4.74
tourist_area,26.5,normal,medium,10,no,3.79,5.81,3.41,4.72
school,36.0,normal,low,4,no,1.51,2.01,1.41,2.29
residential,125.0,normal,low,7,no,5.51,2.47,5.17,2.3
school,177.9,festival,medium,7,yes,5.72,4.11,5.42,3.92
residential,1.0,normal,medium,12,no,4.25,2.34,3.82,2.37
residential,86.2,normal,medium,8,no,7.16,2.99,6.82,2.48
residential,19.0,normal,high,2,no,5.76,3.47,6.22,4.67
market,2.4,normal,medium,11,no,8.65,3.04,8.66,3.23
office,36.7,holiday,medium,12,no,3.73,4.03,3.28,3.41
office,15.0,holiday,medium,2,no,2.44,3.52,3.12,2.8
office,9.6,normal,medium,4,no,3.69,4.24,3.36,4.15
market,0.1,normal,medium,10,no,9.83,2.76,8.65,3.99
residential,117.3,holiday,medium,9,no,6.03,2.3,6.91,2.27
market,53.8,normal,medium,10,no,7.17,3.45,8.03,3.07
tourist_area,15.1,holiday,high,12,no,7.06,7.88,6.95,8.37
residential,98.1,normal,high,9,no,7.01,3.49,6.26,2.85
office,7.8,holiday,medium,4,yes,3.27,4.31,3.3,3.32
school,142.7,normal,low,9,no,1.17,2.37,2.75,2.86
market,0.4,normal,medium,3,no,7.93,2.78,7.08,2.58
office,20.1,festival,medium,12,no,5.11,4.78,4.69,5.44
market,31.0,normal,low,5,no,7.84,1.04,7.52,1.09
office,75.1,normal,high,10,no,2.58,4.49,3.43,4.51
tourist_area,62.5,normal,high,9,no,8.23,5.16,6.71,5.85
market,145.7,normal,high,6,no,14.16,3.66,14.08,3.95
residential,27.3,normal,low,3,no,2.43,1.93,1.88,1.93
school,78.5,normal,high,10,no,3.17,4.41,3.37,4.77
tourist_area,83.1,normal,high,9,yes,6.99,6.65,6.97,7.11
residential,49.0,normal,medium,6,no,6.12,1.79,5.48,2.16
school,65.4,holiday,medium,4,no,3.86,4.47,4.1,3.79
school,1.5,normal,high,4,no,1.92,5.12,2.43,4.47
office,42.7,normal,medium,8,no,3.68,2.74,3.89,1.9
residential,48.8,normal,medium,7,yes,5.95,3.87,6.7,3.62
office,55.6,normal,medium,1,no,1.28,3.75,2.65,3.5
tourist_area,41.7,normal,medium,6,no,5.49,5.66,4.66,5.43
residential,213.9,normal,low,8,no,4.44,1.9,5.04,1.85
residential,18.0,normal,high,3,no,4.68,2.21,5.4,2.19
tourist_area,71.1,normal,medium,9,no,6.46,4.59,5.63,4.48
residential,15.4,normal,medium,10,no,3.95,3.51,3.73,2.84
office,6.2,normal,low,2,yes,1.16,3.77,2.02,3.17
market,96.4,normal,medium,6,no,10.55,3.07,9.79,3.24
residential,34.1,normal,low,12,no,2.43,2.88,3.21,3.61
office,20.1,normal,low,1,no,2.8,2.12,3.67,2.82
market,1.2,normal,medium,12,no,6.99,2.75,8.01,3.05
market,32.0,holiday,medium,11,no,10.67,3.81,11.35,4.32
market,55.4,normal,medium,2,yes,9.31,2.64,8.82,3.87
school,38.2,normal,low,5,no,2.42,3.67,2.74,2.53
residential,53.2,normal,medium,1,no,3.59,2.27,3.33,2.96
market,59.0,normal,low,8,no,8.45,2.46,7.91,2.5
tourist_area,65.9,normal,high,1,no,7.17,5.57,7.62,6.59
residential,82.7,normal,medium,9,no,5.36,3.29,5.06,3.18
school,0.4,holiday,medium,10,no,1.8,4.7,2.97,4.55
residential,55.6,normal,medium,11,no,6.29,2.35,6.41,3.4
office,85.3,festival,low,3,no,3.01,3.89,3.81,3.65
residential,32.0,normal,high,12,no,6.38,4.67,5.65,4.03
tourist_area,7.9,normal,medium,2,no,5.48,5.13,5.23,5.34
market,8.7,normal,medium,1,no,7.04,3.11,7.27,3.56
residential,117.6,normal,medium,9,no,3.35,2.79,4.89,2.56
residential,68.4,normal,low,4,no,5.69,1.41,4.02,1.68
residential,4.9,normal,high,12,no,6.9,2.98,6.93,3.36
market,52.5,normal,medium,1,no,7.54,2.65,7.83,2.55
residential,10.3,festival,medium,1,no,8.28,4.86,6.63,3.83
office,178.4,holiday,low,7,no,4.71,3.7,3.63,2.4
market,75.9,normal,low,2,no,8.23,2.87,6.18,3.2
residential,87.6,normal,high,7,no,7.64,3.45,7.41,3.0
school,13.6,normal,medium,12,no,3.84,4.26,3.59,2.86
office,174.8,normal,low,7,no,4.01,1.21,3.63,1.72
residential,22.6,normal,low,10,no,4.13,1.42,4.12,1.73
residential,140.0,normal,medium,9,no,5.28,2.14,4.78,1.31
residential,94.7,normal,medium,7,no,6.06,2.9,6.73,2.14
office,5.0,normal,medium,1,no,0.93,4.87,1.65,3.93
school,55.9,festival,medium,12,no,4.18,5.83,4.02,5.5
market,60.1,normal,low,8,no,5.44,1.23,6.81,2.02
office,271.2,festival,medium,8,no,5.67,3.82,5.1,3.62
office,8.7,normal,high,4,yes,5.15,4.92,5.24,4.88
school,135.1,normal,low,8,yes,3.8,1.49,3.59,2.59
office,10.0,normal,medium,4,no,3.5,3.91,3.04,3.86
residential,71.3,normal,medium,8,no,5.81,1.82,6.22,1.17
residential,11.1,normal,medium,5,no,5.95,2.24,6.06,1.98
residential,41.3,normal,medium,4,no,5.84,2.35,5.57,2.49
residential,96.1,normal,high,6,no,6.7,1.96,7.13,1.9
market,64.4,normal,medium,2,no,7.85,2.73,8.14,3.76
tourist_area,11.0,normal,medium,12,no,4.97,6.08,5.17,5.97
residential,35.3,normal,medium,2,yes,5.42,2.09,5.43,2.19
residential,41.9,normal,low,2,yes,6.2,3.54,6.0,2.41
market,6.0,normal,low,9,yes,8.04,1.42,8.47,2.26
tourist_area,15.4,normal,high,10,no,6.66,5.69,5.41,5.74
residential,19.8,normal,low,3,no,2.76,1.37,2.25,1.69
market,13.2,festival,medium,10,no,12.87,3.64,13.83,3.23
residential,11.7,normal,medium,4,no,5.56,2.99,5.29,2.74
residential,34.8,holiday,medium,10,no,10.65,2.94,8.96,2.61
tourist_area,7.3,normal,medium,12,no,4.56,6.22,5.13,5.86
tourist_area,133.2,normal,medium,8,no,5.34,4.09,5.34,3.74
residential,82.0,normal,low,4,no,3.97,1.33,4.01,1.92
tourist_area,25.0,normal,medium,11,no,4.87,5.74,4.21,5.34
school,28.4,normal,medium,10,no,3.42,2.75,3.3,3.23
office,2.1,holiday,medium,10,no,5.77,3.93,5.28,3.93
market,196.0,normal,medium,7,no,12.14,3.0,11.16,3.43
market,10.1,normal,medium,5,no,7.57,5.5,7.74,4.66
market,101.3,normal,low,9,no,6.16,1.19,8.1,1.84
school,116.1,festival,low,4,yes,3.75,4.7,3.68,3.69
residential,27.2,normal,low,3,no,3.07,1.36,2.87,1.22
residential,38.7,normal,high,2,no,6.84,4.28,6.98,4.36
residential,17.7,normal,low,1,no,2.69,0.87,2.97,0.77
office,1.9,holiday,low,11,no,3.74,3.44,2.67,3.3
residential,136.7,festival,medium,6,no,10.27,1.89,10.15,1.78
school,1.1,normal,low,10,no,1.97,2.79,1.44,2.36
tourist_area,36.2,holiday,medium,2,no,6.03,5.48,6.53,6.37
residential,24.1,holiday,low,8,no,6.48,2.53,6.27,2.5
school,204.0,normal,low,6,no,2.33,1.9,2.14,2.51
market,5.1,normal,medium,12,no,6.95,4.02,7.47,4.11
office,21.7,normal,medium,12,no,2.02,3.98,2.9,3.92
residential,27.3,festival,high,5,no,11.58,4.5,11.7,3.89
school,18.3,normal,medium,2,yes,3.18,5.42,4.25,5.02
office,110.7,holiday,medium,7,yes,4.26,2.83,5.3,3.27
tourist_area,18.9,normal,medium,2,no,3.24,5.87,3.86,6.31
school,11.2,holiday,low,5,no,3.19,2.32,2.34,2.0
market,17.3,normal,medium,2,no,6.48,3.91,6.87,3.27
school,13.3,normal,medium,11,no,2.13,4.18,2.57,3.82
office,25.1,holiday,medium,10,no,2.43,3.38,2.44,4.13
school,8.2,holiday,medium,11,no,2.49,4.26,3.47,5.41
residential,134.4,holiday,high,11,yes,11.58,5.03,10.32,5.0
tourist_area,20.8,normal,high,2,no,4.97,6.94,4.8,6.95
school,83.9,normal,medium,7,no,2.85,2.66,2.58,2.98
school,61.6,normal,medium,9,yes,4.03,3.96,4.16,4.35
residential,60.4,normal,low,5,no,4.02,2.26,3.61,2.3
school,58.8,normal,medium,7,no,4.17,2.77,2.62,3.21
market,34.1,normal,medium,4,no,8.0,2.37,9.06,2.79
school,23.8,normal,medium,2,no,2.0,3.32,1.84,3.99
residential,5.6,festival,high,3,no,8.67,4.25,8.54,3.4
school,51.0,normal,medium,2,no,2.96,3.22,2.24,3.57
tourist_area,13.8,normal,medium,5,no,3.64,3.38,5.2,4.05
residential,52.7,normal,medium,6,no,5.63,1.69,5.32,2.09
tourist_area,160.4,normal,high,7,no,8.21,5.27,7.84,5.15
market,30.5,normal,medium,3,no,7.86,2.43,7.7,2.72
office,68.6,festival,medium,4,no,6.55,3.93,5.18,3.73
office,105.3,holiday,medium,8,yes,6.12,4.89,5.24,3.73
school,40.5,festival,high,4,no,7.04,5.91,5.66,6.54
office,189.9,festival,low,7,no,4.62,2.37,5.07,1.92
office,1.7,normal,high,12,no,4.38,5.05,4.23,5.06
market,171.4,normal,medium,6,no,8.67,4.25,10.78,3.11
residential,109.3,normal,medium,7,no,6.29,1.56,5.78,2.49
school,2.2,normal,medium,1,no,0.93,3.85,0.96,3.97
office,21.3,normal,medium,3,no,5.04,3.91,5.09,3.54
office,44.9,normal,low,6,no,2.21,2.33,3.01,2.57
office,39.9,normal,high,3,no,3.11,4.13,3.65,5.22
market,108.5,normal,medium,7,no,8.97,2.69,8.84,2.76
office,281.6,normal,medium,9,no,3.79,2.86,4.71,2.69
residential,6.1,normal,low,3,yes,5.07,2.71,4.68,2.74
market,27.9,normal,medium,1,no,9.42,3.5,8.54,2.62
residential,7.1,normal,medium,10,no,6.53,2.3,6.65,2.41
residential,135.0,normal,medium,6,no,4.47,1.74,5.05,2.79
market,38.5,holiday,medium,12,yes,10.68,4.73,10.33,4.82
market,38.4,normal,medium,1,no,8.03,2.6,8.0,2.87
school,50.6,normal,high,1,no,3.87,4.49,3.11,4.89
market,158.3,holiday,medium,8,no,12.83,3.12,10.78,2.8
market,46.4,normal,high,9,yes,14.49,5.28,14.09,4.98
residential,12.6,normal,low,2,no,3.43,2.73,3.1,2.65
market,105.9,normal,medium,9,no,9.25,1.38,8.63,1.8
residential,20.7,normal,medium,5,no,4.89,1.64,5.49,0.81
residential,54.7,holiday,medium,8,no,5.9,1.39,5.87,2.07
school,95.7,holiday,high,7,no,5.06,5.33,5.28,6.09
school,78.3,normal,low,7,yes,3.91,2.15,2.67,2.28
school,14.8,normal,low,4,yes,1.18,3.29,2.19,2.6
market,49.8,normal,high,2,no,9.96,3.62,9.4,4.05
market,15.7,normal,low,5,no,5.63,0.88,4.79,2.13
office,0.8,normal,medium,11,no,2.15,3.28,3.23,3.74
market,1.8,normal,medium,11,no,8.76,3.03,8.14,3.9
market,58.2,normal,high,3,no,9.72,3.49,11.31,3.96
residential,266.5,normal,low,9,no,5.66,0.86,5.47,1.44
residential,97.8,normal,low,6,yes,6.22,1.32,6.29,1.31
market,13.6,normal,medium,1,no,9.36,2.72,9.38,3.03
market,83.7,normal,high,3,no,9.81,2.49,10.41,3.02
school,32.6,holiday,medium,12,no,2.67,4.36,2.83,4.72
market,55.8,normal,medium,4,no,9.17,2.82,9.89,2.69
school,107.1,normal,medium,9,no,2.4,3.52,2.62,3.62
office,14.3,festival,high,11,no,6.75,6.04,6.13,5.6
office,86.1,normal,high,6,no,3.14,3.83,4.14,4.21
office,6.2,normal,high,4,no,4.31,4.04,3.02,3.77
tourist_area,10.4,normal,low,1,no,2.43,2.83,3.5,3.09
residential,144.4,normal,low,8,no,5.08,1.59,5.64,1.67
residential,67.3,normal,medium,11,no,5.73,2.72,6.19,2.26
residential,38.7,normal,high,2,no,6.2,3.45,6.87,2.48
school,18.8,normal,medium,11,no,1.83,5.28,2.05,4.66
tourist_area,2.7,festival,low,11,no,5.82,5.71,5.52,4.71
residential,31.0,normal,high,8,no,7.78,3.77,7.06,3.65
tourist_area,101.7,normal,low,6,no,2.19,3.02,3.96,2.47
residential,69.6,holiday,medium,8,no,6.28,2.18,6.29,2.96
tourist_area,138.8,normal,medium,6,no,6.52,4.18,6.26,4.17
market,0.2,festival,medium,5,yes,15.0,3.84,15.99,4.11
residential,137.3,normal,high,5,no,9.3,1.83,7.85,1.39
market,13.6,holiday,medium,10,no,10.0,3.84,9.13,3.72
residential,56.5,normal,medium,10,no,4.53,3.25,4.79,2.85
residential,23.0,holiday,medium,11,yes,8.74,3.04,7.82,2.78
residential,83.0,festival,medium,8,no,10.01,2.99,9.6,2.91
office,120.7,normal,medium,7,yes,3.86,2.6,4.68,2.81
market,134.6,normal,medium,8,yes,14.18,2.92,13.42,2.86
residential,22.5,normal,low,12,no,4.21,1.79,4.41,1.89
school,86.3,normal,low,8,no,2.26,2.17,2.51,2.04
office,0.0,normal,low,7,no,2.93,1.18,2.63,1.7
residential,32.0,normal,medium,2,no,5.87,2.65,4.74,2.55
market,72.7,normal,high,11,yes,14.42,4.65,14.33,5.02
residential,18.4,normal,high,9,no,7.65,3.21,7.57,2.86
residential,78.5,normal,high,7,yes,9.99,3.59,10.38,2.96
school,69.8,normal,medium,12,no,2.68,4.13,2.49,3.96
residential,10.0,normal,medium,11,no,4.76,2.94,4.68,3.48
market,159.9,normal,medium,6,no,9.05,1.99,9.37,2.64
office,115.6,normal,low,9,no,0.59,2.18,0.8,2.71
residential,27.2,normal,low,1,yes,4.2,1.69,5.03,2.5
school,16.1,normal,medium,11,yes,2.36,4.82,3.28,4.8
residential,10.7,normal,high,2,no,6.52,2.77,5.62,3.14
tourist_area,1.5,normal,low,1,no,2.09,4.06,2.98,3.92
market,40.9,holiday,low,10,no,9.44,2.63,7.71,2.81
office,41.1,normal,high,12,no,3.58,5.47,4.3,5.19
school,33.3,normal,medium,3,yes,3.74,4.76,2.96,4.78
residential,31.0,normal,high,11,no,6.12,3.38,6.61,3.45
school,8.4,holiday,high,5,no,5.99,5.24,4.22,5.59
tourist_area,0.7,festival,high,1,no,9.95,9.87,8.72,9.72
school,49.6,normal,medium,4,no,0.99,4.25,1.94,4.06
office,97.2,normal,medium,8,no,3.38,2.65,3.02,2.83
tourist_area,67.1,festival,medium,6,yes,12.26,6.48,10.71,6.72
residential,3.2,normal,medium,1,no,4.97,3.67,5.66,3.94
residential,1.9,normal,medium,12,no,4.18,2.71,5.74,2.0
school,12.9,normal,low,1,no,1.59,2.79,2.21,2.41
market,49.0,normal,medium,3,no,8.54,3.29,7.74,3.41
office,75.3,festival,medium,10,no,3.83,3.8,5.29,4.2
tourist_area,243.9,festival,high,8,no,12.17,7.55,10.98,7.26
market,75.8,holiday,high,11,no,13.13,5.05,13.31,5.19
residential,71.5,normal,medium,11,no,5.72,2.42,5.5,2.61
office,139.2,holiday,low,8,no,3.6,1.54,4.6,1.64
residential,7.4,normal,high,3,no,6.29,2.37,6.89,3.02
office,148.3,normal,medium,7,no,2.14,2.95,2.48,2.89
market,7.2,festival,high,12,no,15.0,5.25,15.2,5.3
school,9.3,normal,high,3,no,2.36,5.62,3.3,5.69
residential,8.0,normal,low,4,no,2.35,1.98,2.67,2.13
school,54.3,normal,high,9,no,4.42,4.94,4.26,4.92
market,11.7,holiday,low,4,yes,9.98,2.13,8.97,3.2
school,5.0,normal,medium,3,no,0.61,4.96,1.66,5.09
residential,18.1,normal,medium,5,yes,6.11,3.37,6.57,3.56
office,153.3,normal,low,7,no,2.8,2.55,2.04,3.44
office,25.4,holiday,high,5,no,5.35,4.47,5.98,4.54
residential,63.2,holiday,low,4,yes,6.02,2.05,6.21,1.94
residential,82.7,normal,low,8,yes,5.67,1.83,5.93,2.2
residential,5.5,normal,medium,4,no,6.37,2.75,5.7,2.47
school,25.7,normal,high,2,no,3.43,5.44,3.39,5.36
school,18.7,festival,high,10,yes,6.91,7.87,6.72,7.57
market,120.1,normal,high,6,no,14.29,2.84,13.93,3.31
residential,47.5,festival,medium,2,no,7.8,3.07,7.61,2.49
market,41.7,normal,medium,3,yes,10.43,3.51,10.87,3.47
school,85.6,holiday,low,1,no,0.86,3.0,2.01,3.11
market,15.2,holiday,low,5,no,7.61,1.91,7.24,1.85
tourist_area,60.9,normal,medium,9,no,4.47,5.91,5.25,4.48
residential,24.0,festival,medium,2,no,9.11,4.0,8.99,2.88
school,3.5,normal,medium,12,no,1.81,5.18,1.95,4.58
market,29.7,normal,high,7,no,13.99,4.01,14.16,3.92
market,7.0,normal,medium,5,no,10.07,3.11,10.09,3.08
office,15.2,holiday,low,2,no,3.38,2.8,2.49,2.82
school,33.7,normal,low,8,no,4.33,1.96,3.24,1.76
tourist_area,1.0,normal,high,11,no,5.97,7.13,6.46,7.23
residential,114.3,normal,high,6,no,7.79,2.05,7.58,1.55
residential,28.3,normal,high,4,no,6.34,2.83,7.25,1.85
office,37.0,normal,low,4,no,2.42,1.68,3.19,1.85
school,32.4,normal,high,2,no,2.96,5.18,3.69,4.96
residential,3.6,holiday,low,3,yes,4.15,2.17,5.7,2.73
residential,69.9,normal,low,7,yes,3.88,0.87,4.4,1.34
residential,4.2,normal,high,3,no,7.06,2.86,6.91,3.75
tourist_area,55.5,normal,medium,5,no,6.46,5.31,6.08,4.7
residential,41.2,normal,medium,10,no,4.93,1.71,4.98,2.27
residential,49.0,holiday,low,6,no,6.93,1.78,6.58,1.65
residential,50.5,festival,medium,6,no,9.37,2.4,8.21,3.2
market,102.0,normal,high,4,no,13.03,3.41,12.89,3.38
residential,92.1,holiday,medium,6,no,5.51,1.94,5.31,2.55
market,48.5,festival,medium,3,no,11.79,3.65,11.57,3.21
residential,87.2,holiday,low,7,no,5.23,1.8,5.75,1.55
office,62.6,normal,medium,7,no,4.0,3.49,3.72,3.19
residential,46.0,festival,medium,4,no,8.77,2.72,8.98,3.43
market,34.7,normal,low,2,no,6.79,1.82,6.26,0.96
tourist_area,34.3,normal,medium,11,no,4.86,6.22,5.4,5.67
school,112.5,normal,low,7,no,2.11,3.77,2.03,2.93
market,24.9,normal,high,3,no,9.87,3.61,9.14,2.75
residential,39.9,normal,medium,1,yes,6.78,1.84,6.4,2.22
residential,9.4,normal,low,2,no,2.2,2.13,1.37,1.28
school,13.1,normal,medium,10,no,4.36,3.94,2.77,2.91
tourist_area,176.0,holiday,medium,9,no,6.67,5.36,5.91,5.04
school,11.1,holiday,high,12,no,4.15,6.89,3.43,6.74
school,40.2,normal,high,8,yes,3.93,5.58,3.88,5.4
office,120.5,holiday,medium,6,yes,4.65,4.46,4.18,4.42
market,300.0,holiday,high,6,no,15.0,4.51,15.0,3.65
residential,17.1,holiday,medium,1,no,6.58,2.24,7.09,3.39
school,16.8,normal,low,2,no,1.9,2.12,1.41,2.43
tourist_area,55.5,normal,medium,4,no,4.3,4.58,3.16,5.19
residential,49.1,festival,medium,3,no,8.26,3.64,7.72,2.65
school,39.4,normal,medium,1,no,2.15,3.52,1.54,3.42
residential,93.7,normal,high,8,no,8.1,2.68,7.51,3.01
market,135.0,normal,medium,7,no,9.04,2.96,10.01,2.61
residential,28.2,normal,high,4,no,7.44,4.22,7.05,3.21
market,62.7,normal,high,12,no,9.79,4.43,9.62,3.58
office,64.6,normal,medium,12,no,4.36,3.84,4.04,4.21
residential,62.4,normal,medium,9,no,5.8,2.3,6.37,2.57
school,16.8,holiday,medium,11,no,1.73,5.27,2.57,5.23
office,18.7,holiday,high,4,yes,5.71,6.16,4.37,5.87
tourist_area,114.0,normal,medium,1,yes,4.4,6.67,3.98,5.92
residential,34.0,festival,low,10,no,5.16,3.35,5.52,2.83
market,15.7,normal,medium,1,no,7.56,2.61,7.53,2.25
residential,0.8,normal,medium,1,no,5.31,3.27,4.83,2.64
tourist_area,25.0,holiday,low,1,no,3.71,5.19,3.14,5.3
tourist_area,3.0,holiday,low,4,no,3.93,3.91,3.22,3.04
market,54.0,festival,medium,1,no,12.49,4.05,13.62,4.34
office,41.9,normal,medium,2,no,3.33,3.44,3.11,4.14
market,18.5,holiday,medium,4,no,12.65,3.34,12.28,3.67
school,136.7,normal,medium,7,no,0.5,3.0,1.53,3.28
residential,68.3,holiday,low,2,no,5.43,2.13,4.94,1.86
office,76.9,holiday,medium,8,no,3.63,3.48,3.83,3.15
residential,48.9,normal,medium,7,no,7.18,1.76,6.03,0.89
office,257.0,normal,low,9,no,2.21,2.81,1.46,2.47
office,199.9,holiday,medium,6,no,2.82,3.02,3.67,2.95
office,51.5,normal,medium,4,no,4.04,3.75,3.81,3.21
residential,92.8,normal,low,6,no,2.74,0.71,3.97,1.05
residential,4.6,holiday,low,4,no,3.07,1.73,4.18,1.84
residential,30.5,normal,low,7,no,3.64,1.88,3.48,1.41
market,65.3,holiday,high,9,no,15.0,4.07,15.73,4.77
residential,44.6,normal,high,3,no,6.36,2.17,6.87,2.93
tourist_area,8.2,normal,high,3,no,5.93,6.26,6.29,6.7
school,39.2,holiday,high,2,no,4.26,7.2,5.38,6.62
residential,8.7,normal,medium,1,no,4.52,2.82,5.78,2.96
market,15.1,normal,medium,1,no,7.64,2.97,8.14,2.64
market,122.5,holiday,medium,3,yes,12.15,3.4,12.35,3.94
school,32.4,normal,low,7,no,2.11,2.35,2.81,2.26
market,14.2,normal,medium,11,no,6.83,3.16,7.16,2.73
tourist_area,83.2,normal,high,9,no,6.47,6.28,6.22,6.05
market,3.5,holiday,medium,2,no,9.95,3.01,10.05,3.11
tourist_area,121.6,holiday,medium,7,no,6.32,4.23,5.91,5.46
office,14.3,holiday,medium,1,no,3.79,5.15,3.96,4.92
residential,35.6,normal,medium,2,no,5.59,2.19,5.27,3.05
tourist_area,168.3,holiday,medium,6,no,6.32,4.49,5.87,5.1
residential,23.6,normal,high,11,no,5.5,2.76,6.03,3.1
office,1.0,normal,medium,5,no,0.89,1.98,2.64,2.34
market,98.9,normal,high,8,no,14.43,2.31,14.13,1.95
office,1.7,holiday,medium,12,yes,5.25,5.8,4.82,5.34
office,28.7,holiday,high,11,yes,4.63,7.43,5.29,7.45
office,34.7,normal,medium,2,yes,5.42,3.36,4.81,3.64
office,6.6,normal,medium,1,no,2.98,5.05,2.7,4.6
residential,175.5,festival,medium,7,yes,10.95,3.22,11.3,2.27
residential,229.8,normal,high,6,no,8.9,3.67,8.01,3.39
market,167.4,festival,high,8,no,15.0,3.75,17.07,4.41
residential,10.9,normal,low,11,no,3.6,2.5,3.26,1.42
school,109.8,normal,low,8,no,3.37,2.67,3.19,2.68
residential,73.9,normal,high,2,no,6.93,3.36,6.73,3.9
tourist_area,65.5,normal,medium,8,no,5.2,3.83,5.15,4.77
school,188.4,festival,medium,6,no,5.3,4.28,5.47,4.03
office,55.5,normal,medium,9,no,3.25,4.13,3.49,4.04
residential,0.1,holiday,low,12,no,5.64,2.23,4.92,2.91
office,127.3,normal,high,7,no,6.79,3.81,5.43,3.93
tourist_area,43.0,normal,high,2,no,4.73,5.46,4.56,6.51
market,136.5,normal,medium,8,no,11.44,3.22,10.04,2.87
school,234.4,normal,medium,9,no,3.32,4.32,3.22,4.05
office,64.2,festival,high,7,no,7.36,3.7,6.91,3.96
residential,7.9,normal,low,4,no,3.25,1.59,3.23,1.55
market,218.5,normal,high,9,no,12.79,4.22,12.84,3.99
market,5.9,normal,medium,4,no,9.38,3.15,9.83,2.7
residential,34.4,normal,medium,12,no,5.11,2.8,5.54,2.72
market,22.7,normal,high,4,no,14.17,3.0,13.32,3.64
residential,33.6,holiday,medium,9,no,6.95,2.49,7.54,3.47
residential,70.5,normal,medium,8,no,6.64,2.4,5.12,1.35
residential,22.0,normal,medium,4,no,5.26,2.54,6.39,3.35
tourist_area,176.9,normal,medium,8,no,4.48,3.26,5.27,3.5
market,149.9,festival,medium,8,no,15.0,2.77,15.36,3.39
tourist_area,119.7,normal,high,7,no,8.59,6.61,7.58,6.53
market,20.6,normal,high,10,yes,13.59,4.24,13.45,5.16
residential,60.2,normal,medium,6,no,6.29,1.13,6.48,1.26
market,54.1,normal,medium,8,no,9.55,2.78,10.08,2.58
market,105.8,normal,low,7,no,8.0,1.76,8.29,1.71
